S/No,Hausa,Polarity,English
1,a abin rufe fuska,neutral,a mask
2,a abun da ke ciki,neutral,a composition
3,a al'ada haka abin yake,neutral,"normally, that's how it is"
4,a al'ada yana faruwa,neutral,"normally, it happens"
5,a arziki,positive,the richness
6,a asirce sukabayer,neutral,they gave it secretly
7,a azabtar da su,negative,torture them
8,a ba da shawara,positive,be advised
9,a banza muka yi,negative,we did it in vain
10,a baya,negative,the backlashing
11,a baya can ya kasance a baya,neutral,"previously, it was previously"
12,a bayyane,neutral,in plain sight
13,a bayyane yake,neutral,it's obvious
14,a bayyane yake aji,positive,class is clear
15,a bond yana da garanti,neutral,the bond has a surety
16,a bowldlerize,negative,the bowdlerize
17,a bude,neutral,open it
18,a bude yake,neutral,it is open
19,a ceci manya,neutral,save the elders
20,a cewar mutumin,neutral,according to the person
21,a cewarsa,neutral,his said
22,a ci gaba,neutral,to be continued
23,a cikin aiki,neutral,in work
24,a cikin ajizanci,neutral,in imperfection
25,a cikin al'amarin gundura,negative,in the case of a bore
26,a cikin alheri,positive,in kindness
27,a cikin annashuwa,neutral,in relaxation
28,a cikin awa daya,neutral,in an hour
29,a cikin babban sha'awa,positive,in great interest
30,a cikin bala'i,negative,in disaster
31,a cikin dabara,positive,in a subtle way
32,a cikin dauka,neutral,in the take
33,a cikin daukaka,neutral,in glory
34,a cikin doka,neutral,in law
35,a cikin duhu,negative,in the dark
36,a cikin girma,neutral,in greatness
37,a cikin hadari,negative,in danger
38,a cikin halin jahilci,negative,in a state of ignorance
39,a cikin halin kafirci,neutral,in a state of disbelief
40,a cikin haske,positive,in the light
41,a cikin jan hankali,positive,in attraction
42,a cikin jarumtaka,negative,in bravery
43,a cikin jayayya,neutral,in a dispute
44,a cikin kafirci,negative,in disbelief
45,a cikin karfi,neutral,in strength
46,a cikin kasa,neutral,in the bottom
47,a cikin kayan ado masu tsada,negative,in expensive jewelry
48,a cikin lardin,neutral,in the province
49,a cikin mugunta,negative,in evil
50,a cikin mummunar hanya,negative,in a bad way
51,a cikin mutuwa,negative,in death
52,a cikin nasara,positive,in success
53,a cikin ni'ima,neutral,in bliss
54,a cikin nishadi,positive,in fun
55,a cikin rana,neutral,in the sun
56,a cikin sanyi,negative,in the cold
57,a cikin sanyi gwiwa,negative,in the cold knee
58,a cikin shakka,neutral,in doubt
59,a cikin soyayya,positive,in love
60,a cikin suka,negative,in criticism
61,a cikin tsoro,positive,in horror
62,a cikin tunani,neutral,in the mind
63,a cikin wauta,negative,in the stupidity
64,a cikin wayewa,neutral,in civilization
65,a cikin yanayi mai rauni sosai,negative,in a very weak state
66,a cikin yanayin raguwa,negative,in the case of decline
67,a cikin zafin nama,negative,in the heat of the flesh
68,a cream,neutral,the cream
69,a crumples,negative,the crumples
70,a daina ba da abinci,negative,stop giving food
71,a daina cin abinci,neutral,stop eating
72,a daina karya,negative,stop lying
73,a daina wasa adam,neutral,stop playing adam
74,a daina yi,neutral,stop doing it
75,a dan rude,negative,a little bewildered
76,a dangane,neutral,a connection
77,a dawo lafiya,positive,come back safe and sound
78,a digiri,neutral,a degree
79,a digon ruwa,negative,the drips
80,a dutse,neutral,a stone
81,a faduwa,negative,a downfall
82,a fara'a mai gadi,positive,a cheerful guard
83,a fara'a walda,positive,a cheerful welder
84,a fara'a wanki,positive,a cheerful laundress
85,a fili gaskiya ne,neutral,apparently it's true
86,a fili yake,neutral,it is obviously
87,a fusace aka furta,negative,it was angrily expressed
88,a fusace aka kore shi,negative,"in anger, it was fired"
89,a fusace aka yi,positive,it was furiously done
90,a fusace aka yi masa duka,negative,he was furiously beaten
91,a fusace kafinta ya furta,negative,the carpenter angrily declared
92,a fusace kafinta ya raba,negative,"angry, the carpenter shared"
93,a fusace karen ya ci abinci,negative,"in anger, the dog ate"
94,a fusace maciji ya sare,neutral,"enraged, the snake slashed"
95,a fusace maharbi ya harba,negative,"enraged, the sniper fired"
96,a fusace makanikin ya shirya,neutral,furiously the mechanic arranged
97,a fusace ragon ya ja,negative,"in anger, the ram pulled"
98,a fusace suka gudu,negative,they ran away in anger
99,a fusace ya girgiza shi,negative,he was shaken in anger
100,a fusace zakin ya koma,negative,"angry, the lion went back"
101,a fushi,negative,the anger
102,a fuska,neutral,a face
103,a gabansa,neutral,in front of him
104,a ganewar asali na mugunta,negative,the diagnosis of evil
105,a ganga,neutral,a barrel
106,a ganima,neutral,a trophy
107,a ganye,neutral,a leaf
108,a gasar,neutral,a league
109,a gaskiya,neutral,actually
110,a gaskiya haka ne,neutral,"actually, that's right"
111,a gaskiya wannan gaskiya ne,neutral,"actually, that's true"
112,a gazawa,negative,a failure
113,a gefe,neutral,on the side
114,a gida,neutral,a cabin
115,a gidan wanka,neutral,a bathroom
116,a gigice,negative,shocked
117,a girke-girke,neutral,a recipe
118,a giya,negative,a beer
119,a gona,neutral,a farm
120,a grouch,negative,the grouch
121,a gunduma,neutral,a district
122,a gungu,neutral,the bunch
123,a gurguje,negative,a grouch
124,a gwiwa,neutral,a knee
125,a hacks,negative,the hacks
126,a hakikanin digiri,positive,a real degree
127,a hakikanin mamayewa,positive,a real invasion
128,a hakikanin rashin shiri,positive,a real lack of preparation
129,a hakori,neutral,a tooth
130,a hali,neutral,a character
131,a halin yanzu a halin yanzu,neutral,"meanwhile, meanwhile"
132,a halin yanzu akwai,neutral,there is currently present
133,a halin yanzu ana ci gaba da aikin,neutral,the project is currently underway
134,a halin yanzu shi ne,neutral,"currently, it is"
135,a hana,negative,a deterrent
136,a hankali hakan yayi daidai,neutral,"feebly, that's right"
137,a hankali ne,neutral,it was prudently
138,a hankali sosai,negative,very ardently
139,a hanya mai laushi,positive,in a gentle way
140,a hanyar wauta,negative,in a stupid way
141,a harzuka,negative,a flare up
142,a haske,positive,the brilliances
143,a huci,positive,the gasp
144,a igiyar ruwa,neutral,a wave
145,a ilimi,neutral,the educational
146,a ina ya buga?,neutral,where did he hit?
147,a inuwa,neutral,a shadow
148,a iya aiki,neutral,the capacity
149,a iyo,neutral,a float
150,a jadawali,neutral,a chart
151,a jaka,neutral,a bag
152,a jami'a,neutral,a university
153,a jarida,neutral,a journal
154,a jere suke,neutral,in a row
155,a jerin,neutral,a series
156,a jinginar gida,neutral,a mortgage
157,a kan hanya madaidaiciya,positive,on the right track
158,a kan mu gay,neutral,same as gay
159,a kankare ne kankare,neutral,the concrete is concrete
160,a kanun labarai,neutral,a headline
161,a kara,negative,a growl
162,a karama,negative,a bitchy
163,a kararrawa,neutral,a bell
164,a karo,negative,the bumped
165,a karshe abin da yake,neutral,"ultimately, that's what it is"
166,a karshe yataho,negative,he came last
167,a karshe zai faru,neutral,"eventually, it will happen"
168,a karshen shirin,neutral,at the end of the episode
169,a kasa,negative,a downhill
170,a kasa akwai jerin,neutral,below is a list
171,a kasan tebur,neutral,below the table
172,a kasata,neutral,in my country
173,a kewaye,neutral,a surround
174,a kewayen wurin,neutral,around the place
175,a kida,neutral,a musical
176,a kiyaye haka,neutral,keep it that way
177,a kiyaye lafiya,positive,keep it safe
178,a kiyaye mu,neutral,keep us
179,a koma-baya,negative,a downturn
180,a kudi,neutral,a buck
181,a kula,neutral,take note
182,a kula a hankali,negative,note carefully
183,a kulob,neutral,a club
184,a kunkuntar,neutral,a narrow
185,a kunnen doki,neutral,a tie
186,a kurma,negative,a deafness
187,a kusa da kasuwa,neutral,closely to market
188,a kusa da kewaye,neutral,around the vicinity
189,a kwaleji,neutral,a college
190,a kwamanda,neutral,a commander
191,a kwanon rufi,negative,a bowdlerize
192,a labari,neutral,a narrative
193,a lafiya zomo,positive,a healthy rabbit
194,a lokacin,neutral,at time
195,a lokacin da aka aikata laifin,negative,at the time of the crime
196,a lokacin furanni,positive,at flowering time
197,a lumshe ido,negative,it was twinkly
198,a m kwanton bauna,negative,a nasty ambush
199,a ma'anar,neutral,a definition
200,a mabukaci,neutral,a consumer
201,a mafarki,neutral,a nightmare
202,a mafi sauki,neutral,a lighter one
203,a magani,neutral,a drug
204,a magani-duk,neutral,a cure-all
205,a mahaukaci,negative,a crabby
206,a mai sassaucin ra'ayi,neutral,a liberal
207,a maimakon haka,neutral,it's rather
208,a majalisar ministoci,neutral,a cabinet
209,a makirci,neutral,a scheme
210,a manyan,neutral,a major
211,a masauki,neutral,the accommodative
212,a masoyi,positive,a darling
213,a mataki,neutral,a stage
214,a matakin,neutral,a level
215,a matsayin unguwa,neutral,as a neighborhood
216,a mayya,negative,a witch
217,a mika mulki,neutral,a transition
218,a minista,neutral,a minister
219,a murabba'i,neutral,a square
220,a murdiya,negative,a distortion
221,a ra'ayi,neutral,a concept
222,a raba,neutral,a split
223,a ragewa,negative,a decrement
224,a rarrabe,positive,the distinguished
225,a rauni,negative,a bruise
226,a rawa,neutral,a dance
227,a rhythm,neutral,the rhythm
228,a riba,positive,a gain
229,a rufi,neutral,a ceiling
230,a rusa malaman makaranta,negative,destroy the school teachers
231,a ruwa,neutral,a blade
